Radnummer;Bokföringsdatum;Transaktionsdatum;Valutadatum;Transaktionstyp;Referens;Belopp;Bokfört saldo;;;;
414;2023-03-13;2023-03-13;2023-03-13;Pris avisering;1022303130010591;-10,00;91 656,04;;;;
415;2023-03-13;2023-03-13;2023-03-14;Internationell bet;1022303130010591;4 000,00;91 666,04;;;;
416;2023-03-10;2023-03-10;2023-03-13;Bankgiro inbetalning;6428437;4 590,00;87 666,04;;;;
417;2023-03-08;2023-03-08;2023-03-09;Bankgiro inbetalning;6428437;57,06;83 076,04;;;;
418;2023-03-08;2023-03-08;2023-03-08;Bg-bet. via internet;EHusetTryckeri;-403,00;83 018,98;;;;
419;2023-03-08;2023-03-08;2023-03-08;Bg-bet. via internet;Farad Parkering;-120,00;83 421,98;;;;
420;2023-03-08;2023-03-08;2023-03-08;Bg-bet. via internet;Farad Mattor;-2 100,00;83 541,98;;;;
421;2023-03-08;2023-03-08;2023-03-08;Bg-bet. via internet;Mikrofoner;-5 000,00;85 641,98;;;;
422;2023-03-08;2023-03-08;2023-03-08;Överföring via internet;Revisorsmat;-84,70;90 641,98;;;;
423;2023-03-08;2023-03-08;2023-03-08;Överföring via internet;godis smurf;-279,33;90 726,68;;;;
424;2023-03-08;2023-03-08;2023-03-08;Överföring via internet;Revisorsmat;-64,00;91 006,01;;;;
425;2023-03-08;2023-03-08;2023-03-08;Överföring via internet;Bokföringsmat;-85,00;91 070,01;;;;
426;2023-03-08;2023-03-08;2023-03-08;Överföring via internet;Transformator;-2 627,00;91 155,01;;;;
427;2023-03-08;2023-03-08;2023-03-08;Överföring via internet;Tandem;-3 500,00;93 782,01;;;;
428;2023-03-08;2023-03-08;2023-03-08;Överföring via internet;K sek Present;-399,00;97 282,01;;;;
429;2023-03-08;2023-03-08;2023-03-08;Överföring via internet;@1337 Fika;-104,70;97 681,01;;;;
430;2023-03-08;2023-03-08;2023-03-08;Överföring via internet;Milersättning;-185,00;97 785,71;;;;
431;2023-03-08;2023-03-08;2023-03-08;Överföring via internet;code sprint mat;-834,00;97 970,71;;;;
432;2023-03-08;2023-03-08;2023-03-08;Överföring via internet;Klubbor;-150,00;98 804,71;;;;
433;2023-03-08;2023-03-08;2023-03-08;Överföring via internet;Revisorsmat;-170,00;98 954,71;;;;
434;2023-03-08;2023-03-08;2023-03-08;Överföring via internet;Ljus;-114,75;99 124,71;;;;
435;2023-03-08;2023-03-08;2023-03-08;Överföring via internet;Farad Märken;-1 246,00;99 239,46;;;;
436;2023-03-08;2023-03-08;2023-03-08;Överföring via internet;Revisorsmat;-85,00;100 485,46;;;;
437;2023-03-07;2023-03-07;2023-03-08;Bankgiro inbetalning;6428437;556,32;100 570,46;;;;
438;2023-03-06;2023-03-06;2023-03-07;Bankgiro inbetalning;6428437;20 000,00;100 014,14;;;;
439;2023-03-03;2023-03-03;2023-03-06;Bankgiro inbetalning;6428437;133,00;80 014,14;;;;
440;2023-03-03;2023-03-03;2023-03-03;Bg-bet. via internet;Betalning Domän;-236,25;79 881,14;;;;
441;2023-03-02;2023-03-02;2023-03-03;Bankgiro inbetalning;6428437;2 000,00;80 117,39;;;;
442;2023-03-01;2023-03-01;2023-03-02;Bankgiro inbetalning;6428437;450,00;78 117,39;;;;
443;2023-03-01;2023-03-01;2023-03-01;Överföring via internet;Intervjumat;-80,00;77 667,39;;;;
444;2023-03-01;2023-03-01;2023-03-01;Överföring via internet;Intervjumat;-80,00;77 747,39;;;;
445;2023-03-01;2023-03-01;2023-03-01;Överföring via internet;Intervjumat;-57,53;77 827,39;;;;
446;2023-03-01;2023-03-01;2023-03-01;Överföring via internet;Intervjumat;-68,80;77 884,92;;;;
447;2023-02-28;2023-02-28;2023-03-01;Bankgiro inbetalning;6428437;225,00;77 953,72;;;;
448;2023-02-28;2023-02-28;2023-02-28;Överföring via internet;Intervjumat;-72,00;77 728,72;;;;
449;2023-02-28;2023-02-28;2023-02-28;Överföring via internet;Intervjumat;-80,00;77 800,72;;;;
450;2023-02-28;2023-02-28;2023-02-28;Överföring via internet;Intervjumat;-82,00;77 880,72;;;;
451;2023-02-28;2023-02-28;2023-02-28;Överföring via internet;Intervjumat;-73,00;77 962,72;;;;
452;2023-02-28;2023-02-28;2023-02-28;Överföring via internet;Intervjumat;-80,00;78 035,72;;;;
453;2023-02-28;2023-02-28;2023-02-28;Överföring via internet;Intervjumat;-85,00;78 115,72;;;;
454;2023-02-28;2023-02-28;2023-02-28;Överföring via internet;Intervjumat;-85,00;78 200,72;;;;
455;2023-02-28;2023-02-28;2023-02-28;Överföring via internet;Intervjumat;-170,00;78 285,72;;;;
456;2023-02-28;2023-02-28;2023-02-28;Överföring via internet;Intervjumat;-85,00;78 455,72;;;;
457;2023-02-28;2023-02-28;2023-02-28;Överföring via internet;Intervjumat;-255,00;78 540,72;;;;
458;2023-02-28;2023-02-28;2023-02-28;Överföring via internet;Intervjumat;-85,00;78 795,72;;;;
459;2023-02-28;2023-02-28;2023-02-28;Överföring via internet;Intervjumat;-68,00;78 880,72;;;;
460;2023-02-28;2023-02-28;2023-02-28;Överföring via internet;Intervjumat;-76,00;78 948,72;;;;
461;2023-02-28;2023-02-28;2023-02-28;Överföring via internet;Intervjumat;-82,00;79 024,72;;;;
462;2023-02-27;2023-02-27;2023-02-28;Bankgiro inbetalning;6428437;590,00;79 106,72;;;;
463;2023-02-27;2023-02-27;2023-02-27;Bg-bet. via internet;Sexet Brodyr;-7 237,50;78 516,72;;;;
464;2023-02-27;2023-02-27;2023-02-27;Överföring via internet;FNU Kick Off;-380,56;85 754,22;;;;
465;2023-02-27;2023-02-27;2023-02-27;Överföring via internet;Carrom bräde;-1 244,80;86 134,78;;;;
466;2023-02-27;2023-02-27;2023-02-27;Överföring via internet;CEQ-mat;-61,00;87 379,58;;;;
467;2023-02-27;2023-02-27;2023-02-27;Överföring via internet;Svetshjälm;-250,00;87 440,58;;;;
468;2023-02-27;2023-02-27;2023-02-27;Överföring via internet;Svetsförkläde;-499,00;87 690,58;;;;
469;2023-02-27;2023-02-27;2023-02-27;Överföring via internet;Svetshandskar;-119,00;88 189,58;;;;
470;2023-02-27;2023-02-27;2023-02-27;Överföring via internet;Pingisbordsfrakt;-66,60;88 308,58;;;;
471;2023-02-24;2023-02-24;2023-02-24;Överföring via internet;83139741326862;-17 000,00;88 375,18;;;;
472;2023-02-24;2023-02-24;2023-02-24;Överföring via internet;83139741326862;-15 000,00;105 375,18;;;;
473;2023-02-24;2023-02-24;2023-02-24;Överföring via internet;Internöverföring;100 000,00;120 375,18;;;;
474;2023-02-23;2023-02-23;2023-02-23;Överföring via internet;Internöverföring;-10 240,00;20 375,18;;;;
475;2023-02-22;2023-02-22;2023-02-22;Överföring via internet;Intervjumat;-150,00;30 615,18;;;;
476;2023-02-22;2023-02-22;2023-02-22;Överföring via internet;Arbetskläder FAR;-3 200,00;30 765,18;;;;
477;2023-02-21;2023-02-21;2023-02-21;Överföring via internet;Internöverföring;30 000,00;33 965,18;;;;
478;2023-02-20;2023-02-20;2023-02-20;Överföring via internet;83139741326862;-2 200,00;3 965,18;;;;
479;2023-02-20;2023-02-18;2023-02-18;Överföring via internet;83139741326862;-1 000,00;6 165,18;;;;
480;2023-02-20;2023-02-18;2023-02-18;Överföring via internet;83139741326862;-2 000,00;7 165,18;;;;
481;2023-02-17;2023-02-17;2023-02-17;Bg-bet. via internet;Funktionärstack;-36 750,00;9 165,18;;;;
482;2023-02-17;2023-02-17;2023-02-17;Bg-bet. via internet;Utskottstack;-26 000,00;45 915,18;;;;
483;2023-02-17;2023-02-17;2023-02-17;Pg-bet. via internet;Pingisbollar;-389,00;71 915,18;;;;
484;2023-02-17;2023-02-17;2023-02-17;Pg-bet. via internet;AnmälanFotboll;-1 600,00;72 304,18;;;;
485;2023-02-17;2023-02-17;2023-02-17;Pg-bet. via internet;AnmälanVolleybol;-1 300,00;73 904,18;;;;
486;2023-02-17;2023-02-17;2023-02-17;Överföring via internet;Donation Regnbåg;-1 735,50;75 204,18;;;;
487;2023-02-17;2023-02-17;2023-02-17;Överföring via internet;Revisormat;-170,00;76 939,68;;;;
488;2023-02-17;2023-02-17;2023-02-17;Överföring via internet;83139742551138;30 000,00;77 109,68;;;;
489;2023-02-17;2023-02-17;2023-02-17;Överföring via internet;Milersättning;-185,00;47 109,68;;;;
490;2023-02-17;2023-02-17;2023-02-17;Överföring via internet;PingisPriser;-84,00;47 294,68;;;;
491;2023-02-17;2023-02-17;2023-02-17;Överföring via internet;Bokföringsmat;-85,00;47 378,68;;;;
492;2023-02-17;2023-02-17;2023-02-17;Överföring via internet;FARAD;-2 705,81;47 463,68;;;;
493;2023-02-17;2023-02-17;2023-02-17;Överföring via internet;83139742551138;20 000,00;50 169,49;;;;
494;2023-02-17;2023-02-17;2023-02-17;Överföring via internet;Milersättning;-203,50;30 169,49;;;;
495;2023-02-17;2023-02-17;2023-02-17;Överföring via internet;Internöverföring;30 000,00;30 372,99;;;;
496;2023-02-17;2023-02-17;2023-02-17;Överföring via internet;Alkohol KMtack;-3 933,40;372,99;;;;
497;2023-02-17;2023-02-17;2023-02-17;Överföring via internet;Bokföringsmat;-85,00;4 306,39;;;;
498;2023-02-16;2023-02-16;2023-02-17;Bankgiro inbetalning;6428437;390,00;4 391,39;;;;
499;2023-02-14;2023-02-14;2023-02-15;Bankgiro inbetalning;6428437;4 500,00;4 001,39;;;;
500;2023-02-14;2023-02-14;2023-02-14;Överföring via internet;Farad;-565,00;-498,61;;;;
501;2023-02-14;2023-02-14;2023-02-14;Överföring via internet;LedningsskifteMa;-251,20;66,39;;;;
502;2023-02-14;2023-02-14;2023-02-14;Överföring via internet;Farad;-17,90;317,59;;;;
503;2023-02-14;2023-02-14;2023-02-14;Överföring via internet;Farad;-286,42;335,49;;;;
504;2023-02-14;2023-02-14;2023-02-14;Överföring via internet;Farad;-1 938,69;621,91;;;;
505;2023-02-14;2023-02-14;2023-02-14;Överföring via internet;Ceq Tävlingspris;-1 200,00;2 560,60;;;;
506;2023-02-14;2023-02-14;2023-02-14;Överföring via internet;Intervjumat;-85,00;3 760,60;;;;
507;2023-02-14;2023-02-14;2023-02-14;Överföring via internet;KakorHTF;-46,50;3 845,60;;;;
508;2023-02-14;2023-02-14;2023-02-14;Överföring via internet;Farad;-42,90;3 892,10;;;;
509;2023-02-14;2023-02-14;2023-02-14;Överföring via internet;LedningsskifteMa;-396,00;3 935,00;;;;
510;2023-02-13;2023-02-13;2023-02-14;Bankgiro inbetalning;6428437;800,00;4 331,00;;;;
511;2023-02-13;2023-02-13;2023-02-13;Bg-bet. via internet;Tryckeri;-1 832,00;3 531,00;;;;
512;2023-02-13;2023-02-13;2023-02-13;Bg-bet. via internet;Bussar FlyING;-11 560,00;5 363,00;;;;
513;2023-02-13;2023-02-13;2023-02-13;Bg-bet. via internet;Släpp Lophtet;-2 400,00;16 923,00;;;;
514;2023-02-13;2023-02-13;2023-02-13;Bg-bet. via internet;Symaskiner;-5 580,00;19 323,00;;;;
515;2023-02-13;2023-02-13;2023-02-13;Bg-bet. via internet;Tillbehör Symask;-599,00;24 903,00;;;;
516;2023-02-13;2023-02-13;2023-02-13;Bg-bet. via internet;Tacksittning;-10 880,00;25 502,00;;;;
517;2023-02-13;2023-02-13;2023-02-13;Bg-bet. via internet;+1 sittning Loph;-2 575,00;36 382,00;;;;
518;2023-02-13;2023-02-13;2023-02-13;Överföring via internet;83139742551138;20 000,00;38 957,00;;;;
519;2023-02-13;2023-02-13;2023-02-13;Överföring via internet;Diverse Tacksitt;-188,15;18 957,00;;;;
520;2023-02-13;2023-02-13;2023-02-13;Överföring via internet;Alkohol tacksitt;-3 140,40;19 145,15;;;;
521;2023-02-13;2023-02-13;2023-02-13;Överföring via internet;Internövföring;-20 000,00;22 285,55;;;;
522;2023-02-13;2023-02-11;2023-02-11;Överföring via internet;83139741326862;-49,50;42 285,55;;;;
523;2023-02-10;2023-02-10;2023-02-13;Bankgiro inbetalning;6428437;595,00;42 335,05;;;;
524;2023-02-09;2023-02-09;2023-02-09;Överföring via internet;83139741326862;4 200,00;41 740,05;;;;
525;2023-02-08;2023-02-08;2023-02-08;Bg-bet. via internet;AspiaBetalning;-2 772,50;37 540,05;;;;
526;2023-02-08;2023-02-08;2023-02-08;Bg-bet. via internet;GoGSalladFARAD;-8 062,00;40 312,55;;;;
527;2023-02-08;2023-02-08;2023-02-08;Bg-bet. via internet;EHusetTryckeri;-2 537,00;48 374,55;;;;
528;2023-02-08;2023-02-08;2023-02-08;Bg-bet. via internet;SexetKablar;-250,00;50 911,55;;;;
529;2023-02-08;2023-02-08;2023-02-08;Bg-bet. via internet;Lophtet Sexetkic;-2 500,00;51 161,55;;;;
530;2023-02-08;2023-02-08;2023-02-08;Överföring via internet;Intervjumat;-170,00;53 661,55;;;;
531;2023-02-08;2023-02-08;2023-02-08;Överföring via internet;AlkoholFARADPub;-2 798,50;53 831,55;;;;
532;2023-02-08;2023-02-08;2023-02-08;Överföring via internet;Bänkolja;-99,90;56 630,05;;;;
533;2023-02-08;2023-02-08;2023-02-08;Överföring via internet;AllaHjärtansDag;-100,00;56 729,95;;;;
534;2023-02-08;2023-02-08;2023-02-08;Överföring via internet;AllaHjärtansDag;-60,00;56 829,95;;;;
535;2023-02-08;2023-02-08;2023-02-08;Överföring via internet;LedningsSkifte;-4 769,43;56 889,95;;;;
536;2023-02-08;2023-02-08;2023-02-08;Överföring via internet;AllaHjärtansDag;-454,60;61 659,38;;;;
537;2023-02-08;2023-02-08;2023-02-08;Överföring via internet;Internöverföring;-5 000,00;62 113,98;;;;
538;2023-02-08;2023-02-08;2023-02-08;Överföring via internet;AllaHjärtansDag;-195,50;67 113,98;;;;
539;2023-02-08;2023-02-08;2023-02-08;Överföring via internet;83139741326847;50 000,00;67 309,48;;;;
540;2023-02-07;2023-02-07;2023-02-07;Bg-bet. via internet;Bilreperation;-6 289,00;17 309,48;;;;
541;2023-02-07;2023-02-07;2023-02-07;Överföring via internet;83139741326862;-10 880,00;23 598,48;;;;
542;2023-02-07;2023-02-07;2023-02-07;Överföring via internet;InternÖvf;21 152,73;34 478,48;;;;
543;2023-02-06;2023-02-06;2023-02-06;Överföring via internet;83139741326862;590,00;13 325,75;;;;
544;2023-02-03;2023-02-03;2023-02-03;Överföring via internet;UtbildningFNU;-500,00;12 735,75;;;;
545;2023-02-03;2023-02-03;2023-02-03;Överföring via internet;MattejpFARAD;-1 791,00;13 235,75;;;;
546;2023-02-03;2023-02-03;2023-02-03;Överföring via internet;Bokföringsmat;-85,00;15 026,75;;;;
547;2023-02-03;2023-02-03;2023-02-03;Överföring via internet;Lunchföreläsning;-119,00;15 111,75;;;;
548;2023-02-02;2023-02-02;2023-02-02;Överföring via internet;83139741326862;-14 000,00;15 230,75;;;;
549;2023-02-01;2023-02-01;2023-02-01;Bg-bet. via internet;SaftUmeåVT22;-800,00;29 230,75;;;;
550;2023-02-01;2023-02-01;2023-02-01;Överföring via internet;Kostym SåS;-175,90;30 030,75;;;;
551;2023-02-01;2023-02-01;2023-02-01;Överföring via internet;FaradFika;-540,50;30 206,65;;;;
552;2023-02-01;2023-02-01;2023-02-01;Överföring via internet;Dricka och snack;-341,00;30 747,15;;;;
553;2023-02-01;2023-02-01;2023-02-01;Överföring via internet;Alkoholcaftack;-1 104,00;31 088,15;;;;
554;2023-02-01;2023-02-01;2023-02-01;Överföring via internet;såsmat rep;-490,59;32 192,15;;;;
555;2023-02-01;2023-02-01;2023-02-01;Överföring via internet;FaradMat;-5 101,50;32 682,74;;;;
556;2023-02-01;2023-02-01;2023-02-01;Överföring via internet;såsmat rep;-117,80;37 784,24;;;;
557;2023-02-01;2023-02-01;2023-02-01;Överföring via internet;AlkTackSex;-1 877,60;37 902,04;;;;
558;2023-02-01;2023-02-01;2023-02-01;Överföring via internet;Värdutbildning;-83,30;39 779,64;;;;
559;2023-02-01;2023-02-01;2023-02-01;Överföring via internet;Kostym SåS;-791,75;39 862,94;;;;
560;2023-02-01;2023-02-01;2023-02-01;Överföring via internet;AlkoholPryltack;-1 272,00;40 654,69;;;;
561;2023-02-01;2023-02-01;2023-02-01;Överföring via internet;alkfriPryTack;-250,59;41 926,69;;;;
562;2023-02-01;2023-02-01;2023-02-01;Överföring via internet;Ansvarspostutbil;-1 947,00;42 177,28;;;;
563;2023-02-01;2023-02-01;2023-02-01;Överföring via internet;FaradTejp;-39,90;44 124,28;;;;
564;2023-02-01;2023-02-01;2023-02-01;Överföring via internet;SkåpLås;-1 996,00;44 164,18;;;;
565;2023-02-01;2023-02-01;2023-02-01;Överföring via internet;83139741326862;-700,00;46 160,18;;;;
566;2023-01-30;2023-01-30;2023-01-30;Bg-bet. via internet;SkiftesStuga;-7 000,00;46 860,18;;;;
567;2023-01-30;2023-01-30;2023-01-30;Överföring via internet;83139741326862;-1 000,00;53 860,18;;;;
568;2023-01-27;2023-01-27;2023-01-27;Överföring via internet;83139741326862;-7 000,00;54 860,18;;;;
569;2023-01-27;2023-01-27;2023-01-27;Överföring via internet;83139741326862;-1 500,00;61 860,18;;;;
570;2023-01-24;2023-01-24;2023-01-24;Bg-bet. via internet;Hyra Ishall;-400,00;63 360,18;;;;
571;2023-01-24;2023-01-24;2023-01-24;Pg-bet. via internet;PingisBollar;-468,00;63 760,18;;;;
572;2023-01-24;2023-01-24;2023-01-24;Överföring via internet;MatSyrelseUtbild;-700,00;64 228,18;;;;
573;2023-01-24;2023-01-24;2023-01-24;Överföring via internet;Mat Bordsvise;-220,00;64 928,18;;;;
574;2023-01-24;2023-01-24;2023-01-24;Överföring via internet;AuxBil;-39,90;65 148,18;;;;
575;2023-01-24;2023-01-24;2023-01-24;Överföring via internet;Bar Bordsvise;-380,00;65 188,08;;;;
576;2023-01-24;2023-01-24;2023-01-24;Överföring via internet;TipEx Lim;-78,80;65 568,08;;;;
577;2023-01-24;2023-01-24;2023-01-24;Överföring via internet;Diesel F-bil;-1 061,28;65 646,88;;;;
578;2023-01-24;2023-01-24;2023-01-24;Överföring via internet;Mat Reptillfälle;-919,32;66 708,16;;;;
579;2023-01-24;2023-01-24;2023-01-24;Överföring via internet;Scenkläder;-309,50;67 627,48;;;;
580;2023-01-24;2023-01-24;2023-01-24;Överföring via internet;CafeLås;-449,00;67 936,98;;;;
581;2023-01-24;2023-01-24;2023-01-24;Överföring via internet;Mat Bordsvise;-2 156,00;68 385,98;;;;
582;2023-01-24;2023-01-24;2023-01-24;Överföring via internet;Cafe Nycklar;-280,00;70 541,98;;;;
583;2023-01-24;2023-01-24;2023-01-24;Överföring via internet;Alk Bordsvise;-627,00;70 821,98;;;;
584;2023-01-24;2023-01-24;2023-01-24;Överföring via internet;Diesel F-bil;-1 198,24;71 448,98;;;;
585;2023-01-24;2023-01-24;2023-01-24;Överföring via internet;Alkohol LednTack;-2 350,20;72 647,22;;;;
586;2023-01-24;2023-01-24;2023-01-24;Överföring via internet;Bokföringsmat;-170,00;74 997,42;;;;
587;2023-01-24;2023-01-24;2023-01-24;Överföring via internet;Scenkläder;-105,00;75 167,42;;;;
588;2023-01-24;2023-01-24;2023-01-24;Överföring via internet;Scenkläder;-1 036,00;75 272,42;;;;
589;2023-01-24;2023-01-24;2023-01-24;Överföring via internet;Scenkläder;-185,00;76 308,42;;;;
590;2023-01-23;2023-01-23;2023-01-23;Bg-bet. via internet;Bilförsäkring;-1 952,00;76 493,42;;;;
591;2023-01-23;2023-01-23;2023-01-23;Överföring via internet;Internöverföring;-1 400,00;78 445,42;;;;
592;2023-01-23;2023-01-23;2023-01-23;Överföring via internet;83139741326862;-800,00;79 845,42;;;;
593;2023-01-20;2023-01-20;2023-01-20;Pris banktjänster enligt faktura;;-1 212,00;80 645,42;;;;
594;2023-01-18;2023-01-18;2023-01-18;Pris avisering;1022301180007526;-10,00;81 857,42;;;;
595;2023-01-18;2023-01-18;2023-01-18;Pris betalning;1022301180007526;-1,50;81 867,42;;;;
596;2023-01-18;2023-01-18;2023-01-19;Europabetalning;1022301180007526;525,00;81 868,92;;;;
597;2023-01-17;2023-01-17;2023-01-18;Bankgiro inbetalning;6428437;1 606,00;81 343,92;;;;
598;2023-01-17;2023-01-17;2023-01-17;Bg-bet. via internet;Adobe creative c;-6 243,00;79 737,92;;;;
599;2023-01-17;2023-01-16;2023-01-16;Överföring via internet;Internöverföring;-20 000,00;85 980,92;;;;
600;2023-01-16;2023-01-16;2023-01-17;Bankgiro inbetalning;6428437;220,00;105 980,92;;;;
601;2023-01-13;2023-01-13;2023-01-13;Bg-bet. via internet;LUNDS KOMMUN;-1 200,00;105 760,92;;;;
602;2023-01-12;2023-01-12;2023-01-13;Bankgiro inbetalning;6428437;36 000,00;106 960,92;;;;
603;2023-01-12;2023-01-12;2023-01-12;Bg-bet. via internet;FETSM 1;-1 400,00;70 960,92;;;;
604;2023-01-12;2023-01-11;2023-01-11;Bg-bet. via internet;Tillstånd Farad;-1 400,00;72 360,92;;;;
605;2023-01-12;2023-01-11;2023-01-11;Bg-bet. via internet;Tillstånd Farad;-1 400,00;73 760,92;;;;
606;2023-01-11;2023-01-11;2023-01-12;Bankgiro inbetalning;6428437;1 180,00;75 160,92;;;;
607;2023-01-11;2023-01-11;2023-01-11;Bg-bet. via internet;Hyra gasque SING;-16 110,00;73 980,92;;;;
608;2023-01-11;2023-01-11;2023-01-11;Bg-bet. via internet;E-tryckeriet;-5 947,00;90 090,92;;;;
609;2023-01-11;2023-01-11;2023-01-11;Bg-bet. via internet;Hyra Cornelis St;-3 800,00;96 037,92;;;;
610;2023-01-11;2023-01-11;2023-01-11;Bg-bet. via internet;Hyra Nollegasque;-34 290,00;99 837,92;;;;
611;2023-01-11;2023-01-11;2023-01-11;Bg-bet. via internet;Hyra Gasque Jubi;-24 595,00;134 127,92;;;;
612;2023-01-11;2023-01-11;2023-01-11;Överföring via internet;Intervjumat;-85,00;158 722,92;;;;
613;2023-01-11;2023-01-11;2023-01-11;Överföring via internet;Bokföringsmat;-170,00;158 807,92;;;;
614;2023-01-11;2023-01-11;2023-01-11;Överföring via internet;Internöverföring;80 000,00;158 977,92;;;;
615;2023-01-11;2023-01-11;2023-01-11;Överföring via internet;Ledningstack;-3 457,70;78 977,92;;;;
616;2023-01-11;2023-01-11;2023-01-11;Överföring via internet;Bokföringsmat;-85,00;82 435,62;;;;
617;2023-01-11;2023-01-11;2023-01-11;Överföring via internet;Bokföringsmat;-85,00;82 520,62;;;;
618;2023-01-04;2023-01-04;2023-01-05;Bankgiro inbetalning;6428437;150,00;82 605,62;;;;
619;2023-01-03;2023-01-03;2023-01-04;Bankgiro inbetalning;6428437;2 000,00;82 455,62;;;;
620;2023-01-02;2023-01-02;2023-01-03;Bankgiro inbetalning;6428437;47 504,00;80 455,62;;;;
